Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
09-07-2024;00:00:00;09-07-2024;00:15:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
09-07-2024;00:00:00;09-07-2024;00:15:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
09-07-2024;00:15:00;09-07-2024;00:30:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,053;kWh;Gevalideerd
09-07-2024;00:15:00;09-07-2024;00:30:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:30:00;09-07-2024;00:45:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
09-07-2024;00:30:00;09-07-2024;00:45:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;00:45:00;09-07-2024;01:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,021;kWh;Gevalideerd
09-07-2024;00:45:00;09-07-2024;01:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:00:00;09-07-2024;01:15:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
09-07-2024;01:00:00;09-07-2024;01:15:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:15:00;09-07-2024;01:30:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,014;kWh;Gevalideerd
09-07-2024;01:15:00;09-07-2024;01:30:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:30:00;09-07-2024;01:45:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,012;kWh;Gevalideerd
09-07-2024;01:30:00;09-07-2024;01:45:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-07-2024;01:45:00;09-07-2024;02:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
