Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
08-07-2024;00:00:00;08-07-2024;00:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;;kWh;Geen verbruik
08-07-2024;00:00:00;08-07-2024;00:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;;kWh;Geen verbruik
08-07-2024;00:15:00;08-07-2024;00:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
08-07-2024;00:15:00;08-07-2024;00:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;00:30:00;08-07-2024;00:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
08-07-2024;00:30:00;08-07-2024;00:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;00:45:00;08-07-2024;01:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,022;kWh;Gevalideerd
08-07-2024;00:45:00;08-07-2024;01:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;01:00:00;08-07-2024;01:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,024;kWh;Gevalideerd
08-07-2024;01:00:00;08-07-2024;01:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;01:15:00;08-07-2024;01:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
08-07-2024;01:15:00;08-07-2024;01:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;01:30:00;08-07-2024;01:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,024;kWh;Gevalideerd
08-07-2024;01:30:00;08-07-2024;01:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;01:45:00;08-07-2024;02:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,026;kWh;Gevalideerd
08-07-2024;01:45:00;08-07-2024;02:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;02:00:00;08-07-2024;02:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
08-07-2024;02:00:00;08-07-2024;02:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;02:15:00;08-07-2024;02:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,024;kWh;Gevalideerd
08-07-2024;02:15:00;08-07-2024;02:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;02:30:00;08-07-2024;02:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,021;kWh;Gevalideerd
08-07-2024;02:30:00;08-07-2024;02:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;02:45:00;08-07-2024;03:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,021;kWh;Gevalideerd
08-07-2024;02:45:00;08-07-2024;03:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;03:00:00;08-07-2024;03:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
08-07-2024;03:00:00;08-07-2024;03:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;03:15:00;08-07-2024;03:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,019;kWh;Gevalideerd
08-07-2024;03:15:00;08-07-2024;03:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;03:30:00;08-07-2024;03:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,022;kWh;Gevalideerd
08-07-2024;03:30:00;08-07-2024;03:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;03:45:00;08-07-2024;04:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
08-07-2024;03:45:00;08-07-2024;04:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;04:00:00;08-07-2024;04:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,022;kWh;Gevalideerd
08-07-2024;04:00:00;08-07-2024;04:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;04:15:00;08-07-2024;04:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,022;kWh;Gevalideerd
08-07-2024;04:15:00;08-07-2024;04:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;04:30:00;08-07-2024;04:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
08-07-2024;04:30:00;08-07-2024;04:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;04:45:00;08-07-2024;05:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,023;kWh;Gevalideerd
08-07-2024;04:45:00;08-07-2024;05:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;05:00:00;08-07-2024;05:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
08-07-2024;05:00:00;08-07-2024;05:15:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;05:15:00;08-07-2024;05:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,018;kWh;Gevalideerd
08-07-2024;05:15:00;08-07-2024;05:30:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-07-2024;05:30:00;08-07-2024;05:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,015;kWh;Gevalideerd
08-07-2024;05:30:00;08-07-2024;05:45:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
