Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
07-07-2024;00:00:00;07-07-2024;00:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,038;kWh;Gevalideerd
07-07-2024;00:00:00;07-07-2024;00:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;00:15:00;07-07-2024;00:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,036;kWh;Gevalideerd
07-07-2024;00:15:00;07-07-2024;00:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;00:30:00;07-07-2024;00:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,035;kWh;Gevalideerd
07-07-2024;00:30:00;07-07-2024;00:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;00:45:00;07-07-2024;01:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,029;kWh;Gevalideerd
07-07-2024;00:45:00;07-07-2024;01:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;01:00:00;07-07-2024;01:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,033;kWh;Gevalideerd
07-07-2024;01:00:00;07-07-2024;01:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;01:15:00;07-07-2024;01:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,032;kWh;Gevalideerd
07-07-2024;01:15:00;07-07-2024;01:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;01:30:00;07-07-2024;01:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,032;kWh;Gevalideerd
07-07-2024;01:30:00;07-07-2024;01:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;01:45:00;07-07-2024;02:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,033;kWh;Gevalideerd
07-07-2024;01:45:00;07-07-2024;02:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;02:00:00;07-07-2024;02:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,042;kWh;Gevalideerd
07-07-2024;02:00:00;07-07-2024;02:15:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;02:15:00;07-07-2024;02:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,041;kWh;Gevalideerd
07-07-2024;02:15:00;07-07-2024;02:30:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;02:30:00;07-07-2024;02:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,041;kWh;Gevalideerd
07-07-2024;02:30:00;07-07-2024;02:45:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
07-07-2024;02:45:00;07-07-2024;03:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;0,040;kWh;Gevalideerd
