Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
13-07-2022;00:00:00;14-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;5,384;kWh;Gevalideerd
13-07-2022;00:00:00;14-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,854;kWh;Gevalideerd
13-07-2022;00:00:00;14-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
13-07-2022;00:00:00;14-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
14-07-2022;00:00:00;15-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;3,384;kWh;Gevalideerd
14-07-2022;00:00:00;15-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,829;kWh;Gevalideerd
14-07-2022;00:00:00;15-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
14-07-2022;00:00:00;15-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
15-07-2022;00:00:00;16-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,070;kWh;Gevalideerd
15-07-2022;00:00:00;16-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,601;kWh;Gevalideerd
15-07-2022;00:00:00;16-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
15-07-2022;00:00:00;16-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
16-07-2022;00:00:00;17-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
16-07-2022;00:00:00;17-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;2,571;kWh;Gevalideerd
16-07-2022;00:00:00;17-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
16-07-2022;00:00:00;17-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-07-2022;00:00:00;18-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
17-07-2022;00:00:00;18-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;6,514;kWh;Gevalideerd
17-07-2022;00:00:00;18-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-07-2022;00:00:00;18-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
18-07-2022;00:00:00;19-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,640;kWh;Gevalideerd
18-07-2022;00:00:00;19-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,611;kWh;Gevalideerd
18-07-2022;00:00:00;19-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
18-07-2022;00:00:00;19-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
19-07-2022;00:00:00;20-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,901;kWh;Gevalideerd
19-07-2022;00:00:00;20-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,696;kWh;Gevalideerd
19-07-2022;00:00:00;20-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
19-07-2022;00:00:00;20-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
20-07-2022;00:00:00;21-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;6,623;kWh;Gevalideerd
20-07-2022;00:00:00;21-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,635;kWh;Gevalideerd
20-07-2022;00:00:00;21-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
20-07-2022;00:00:00;21-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
21-07-2022;00:00:00;22-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,916;kWh;Gevalideerd
21-07-2022;00:00:00;22-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,694;kWh;Gevalideerd
21-07-2022;00:00:00;22-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
21-07-2022;00:00:00;22-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
22-07-2022;00:00:00;23-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,340;kWh;Gevalideerd
22-07-2022;00:00:00;23-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,640;kWh;Gevalideerd
22-07-2022;00:00:00;23-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
22-07-2022;00:00:00;23-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
23-07-2022;00:00:00;24-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
23-07-2022;00:00:00;24-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;4,057;kWh;Gevalideerd
23-07-2022;00:00:00;24-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
23-07-2022;00:00:00;24-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
24-07-2022;00:00:00;25-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
24-07-2022;00:00:00;25-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;4,931;kWh;Gevalideerd
24-07-2022;00:00:00;25-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
24-07-2022;00:00:00;25-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
25-07-2022;00:00:00;26-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;1,827;kWh;Gevalideerd
25-07-2022;00:00:00;26-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Nacht;0,655;kWh;Gevalideerd
25-07-2022;00:00:00;26-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
25-07-2022;00:00:00;26-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
26-07-2022;00:00:00;27-07-2022;00:00:00;="541448860010420847";1SAG1100386949;Digitale Meter;Afname Dag;2,574;kWh;Gevalideerd
