Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
17-05-2024;01:30:00;17-05-2024;01:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,024;kWh;Gevalideerd
17-05-2024;01:30:00;17-05-2024;01:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;01:45:00;17-05-2024;02:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,029;kWh;Gevalideerd
17-05-2024;01:45:00;17-05-2024;02:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;02:00:00;17-05-2024;02:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,028;kWh;Gevalideerd
17-05-2024;02:00:00;17-05-2024;02:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;02:15:00;17-05-2024;02:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,024;kWh;Gevalideerd
17-05-2024;02:15:00;17-05-2024;02:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;02:30:00;17-05-2024;02:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,019;kWh;Gevalideerd
17-05-2024;02:30:00;17-05-2024;02:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;02:45:00;17-05-2024;03:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
17-05-2024;02:45:00;17-05-2024;03:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;03:00:00;17-05-2024;03:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,025;kWh;Gevalideerd
17-05-2024;03:00:00;17-05-2024;03:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;03:15:00;17-05-2024;03:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,029;kWh;Gevalideerd
17-05-2024;03:15:00;17-05-2024;03:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;03:30:00;17-05-2024;03:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,028;kWh;Gevalideerd
17-05-2024;03:30:00;17-05-2024;03:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;03:45:00;17-05-2024;04:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,022;kWh;Gevalideerd
17-05-2024;03:45:00;17-05-2024;04:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;04:00:00;17-05-2024;04:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,019;kWh;Gevalideerd
17-05-2024;04:00:00;17-05-2024;04:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;04:15:00;17-05-2024;04:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,019;kWh;Gevalideerd
17-05-2024;04:15:00;17-05-2024;04:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;04:30:00;17-05-2024;04:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,027;kWh;Gevalideerd
17-05-2024;04:30:00;17-05-2024;04:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;04:45:00;17-05-2024;05:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,028;kWh;Gevalideerd
17-05-2024;04:45:00;17-05-2024;05:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;05:00:00;17-05-2024;05:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,029;kWh;Gevalideerd
17-05-2024;05:00:00;17-05-2024;05:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;05:15:00;17-05-2024;05:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,019;kWh;Gevalideerd
17-05-2024;05:15:00;17-05-2024;05:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;05:30:00;17-05-2024;05:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
17-05-2024;05:30:00;17-05-2024;05:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;05:45:00;17-05-2024;06:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Nacht;0,020;kWh;Gevalideerd
17-05-2024;05:45:00;17-05-2024;06:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
17-05-2024;06:00:00;17-05-2024;06:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;06:00:00;17-05-2024;06:15:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;06:15:00;17-05-2024;06:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,028;kWh;Gevalideerd
17-05-2024;06:15:00;17-05-2024;06:30:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;06:30:00;17-05-2024;06:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,025;kWh;Gevalideerd
17-05-2024;06:30:00;17-05-2024;06:45:00;="541448820060527996";1SAG1100366406;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
17-05-2024;06:45:00;17-05-2024;07:00:00;="541448820060527996";1SAG1100366406;Digitale Meter;Afname Dag;0,019;kWh;Gevalideerd
