Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
24-06-2024;00:00:00;25-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Dag;3,338;kWh;Gevalideerd
24-06-2024;00:00:00;25-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;0,892;kWh;Gevalideerd
24-06-2024;00:00:00;25-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Dag;0,008;kWh;Gevalideerd
24-06-2024;00:00:00;25-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
25-06-2024;00:00:00;26-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Dag;4,340;kWh;Gevalideerd
25-06-2024;00:00:00;26-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;1,402;kWh;Gevalideerd
25-06-2024;00:00:00;26-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
25-06-2024;00:00:00;26-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
26-06-2024;00:00:00;27-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Dag;3,626;kWh;Gevalideerd
26-06-2024;00:00:00;27-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;1,879;kWh;Gevalideerd
26-06-2024;00:00:00;27-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
26-06-2024;00:00:00;27-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
27-06-2024;00:00:00;28-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Dag;1,884;kWh;Gevalideerd
27-06-2024;00:00:00;28-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;1,178;kWh;Gevalideerd
27-06-2024;00:00:00;28-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
27-06-2024;00:00:00;28-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
28-06-2024;00:00:00;29-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Dag;1,408;kWh;Gevalideerd
28-06-2024;00:00:00;29-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Afname Nacht;1,068;kWh;Gevalideerd
28-06-2024;00:00:00;29-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
28-06-2024;00:00:00;29-06-2024;00:00:00;="541449500000446547";1SAG3100759323;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
