Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
07-01-2023;00:00:00;08-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
07-01-2023;00:00:00;08-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;16,335;kWh;Gevalideerd
07-01-2023;00:00:00;08-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
07-01-2023;00:00:00;08-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
08-01-2023;00:00:00;09-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;0,000;kWh;Gevalideerd
08-01-2023;00:00:00;09-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;15,752;kWh;Gevalideerd
08-01-2023;00:00:00;09-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
08-01-2023;00:00:00;09-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
09-01-2023;00:00:00;10-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;16,737;kWh;Gevalideerd
09-01-2023;00:00:00;10-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;4,169;kWh;Gevalideerd
09-01-2023;00:00:00;10-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
09-01-2023;00:00:00;10-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
10-01-2023;00:00:00;11-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;13,409;kWh;Gevalideerd
10-01-2023;00:00:00;11-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;5,133;kWh;Gevalideerd
10-01-2023;00:00:00;11-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
10-01-2023;00:00:00;11-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
11-01-2023;00:00:00;12-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;15,059;kWh;Gevalideerd
11-01-2023;00:00:00;12-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Nacht;2,470;kWh;Gevalideerd
11-01-2023;00:00:00;12-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
11-01-2023;00:00:00;12-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
12-01-2023;00:00:00;13-01-2023;00:00:00;="541448820072026166";1SAG1105054868;Digitale Meter;Afname Dag;15,775;kWh;Gevalideerd
