Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus
08-07-2024,14:15:00,08-07-2024,14:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,14:30:00,08-07-2024,14:45:00,1SAG1100386949,Digitale Meter,Afname Dag,14,kWh,Gevalideerd
08-07-2024,14:30:00,08-07-2024,14:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,14:45:00,08-07-2024,15:00:00,1SAG1100386949,Digitale Meter,Afname Dag,13,kWh,Gevalideerd
08-07-2024,14:45:00,08-07-2024,15:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,15:00:00,08-07-2024,15:15:00,1SAG1100386949,Digitale Meter,Afname Dag,16,kWh,Gevalideerd
08-07-2024,15:00:00,08-07-2024,15:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,15:15:00,08-07-2024,15:30:00,1SAG1100386949,Digitale Meter,Afname Dag,12,kWh,Gevalideerd
08-07-2024,15:15:00,08-07-2024,15:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,15:30:00,08-07-2024,15:45:00,1SAG1100386949,Digitale Meter,Afname Dag,45,kWh,Gevalideerd
08-07-2024,15:30:00,08-07-2024,15:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,15:45:00,08-07-2024,16:00:00,1SAG1100386949,Digitale Meter,Afname Dag,27,kWh,Gevalideerd
08-07-2024,15:45:00,08-07-2024,16:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,16:00:00,08-07-2024,16:15:00,1SAG1100386949,Digitale Meter,Afname Dag,24,kWh,Gevalideerd
08-07-2024,16:00:00,08-07-2024,16:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,16:15:00,08-07-2024,16:30:00,1SAG1100386949,Digitale Meter,Afname Dag,14,kWh,Gevalideerd
08-07-2024,16:15:00,08-07-2024,16:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,16:30:00,08-07-2024,16:45:00,1SAG1100386949,Digitale Meter,Afname Dag,15,kWh,Gevalideerd
08-07-2024,16:30:00,08-07-2024,16:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,16:45:00,08-07-2024,17:00:00,1SAG1100386949,Digitale Meter,Afname Dag,13,kWh,Gevalideerd
08-07-2024,16:45:00,08-07-2024,17:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,17:00:00,08-07-2024,17:15:00,1SAG1100386949,Digitale Meter,Afname Dag,19,kWh,Gevalideerd
08-07-2024,17:00:00,08-07-2024,17:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,17:15:00,08-07-2024,17:30:00,1SAG1100386949,Digitale Meter,Afname Dag,20,kWh,Gevalideerd
08-07-2024,17:15:00,08-07-2024,17:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,17:30:00,08-07-2024,17:45:00,1SAG1100386949,Digitale Meter,Afname Dag,24,kWh,Gevalideerd
08-07-2024,17:30:00,08-07-2024,17:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,17:45:00,08-07-2024,18:00:00,1SAG1100386949,Digitale Meter,Afname Dag,22,kWh,Gevalideerd
08-07-2024,17:45:00,08-07-2024,18:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,18:00:00,08-07-2024,18:15:00,1SAG1100386949,Digitale Meter,Afname Dag,93,kWh,Gevalideerd
08-07-2024,18:00:00,08-07-2024,18:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,18:15:00,08-07-2024,18:30:00,1SAG1100386949,Digitale Meter,Afname Dag,26,kWh,Gevalideerd
08-07-2024,18:15:00,08-07-2024,18:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,18:30:00,08-07-2024,18:45:00,1SAG1100386949,Digitale Meter,Afname Dag,71,kWh,Gevalideerd
08-07-2024,18:30:00,08-07-2024,18:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,18:45:00,08-07-2024,19:00:00,1SAG1100386949,Digitale Meter,Afname Dag,147,kWh,Gevalideerd
08-07-2024,18:45:00,08-07-2024,19:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,19:00:00,08-07-2024,19:15:00,1SAG1100386949,Digitale Meter,Afname Dag,49,kWh,Gevalideerd
08-07-2024,19:00:00,08-07-2024,19:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,19:15:00,08-07-2024,19:30:00,1SAG1100386949,Digitale Meter,Afname Dag,19,kWh,Gevalideerd
08-07-2024,19:15:00,08-07-2024,19:30:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,19:30:00,08-07-2024,19:45:00,1SAG1100386949,Digitale Meter,Afname Dag,121,kWh,Gevalideerd
08-07-2024,19:30:00,08-07-2024,19:45:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,19:45:00,08-07-2024,20:00:00,1SAG1100386949,Digitale Meter,Afname Dag,41,kWh,Gevalideerd
08-07-2024,19:45:00,08-07-2024,20:00:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,20:00:00,08-07-2024,20:15:00,1SAG1100386949,Digitale Meter,Afname Dag,47,kWh,Gevalideerd
08-07-2024,20:00:00,08-07-2024,20:15:00,1SAG1100386949,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
08-07-2024,20:15:00,08-07-2024,20:30:00,1SAG1100386949,Digitale Meter,Afname Dag,42,kWh,Gevalideerd
