Van Datum,Van Tijdstip,Tot Datum,Tot Tijdstip,Meter,Metertype,Register,Volume,Eenheid,Validatiestatus
09-07-2024,00:00:00,09-07-2024,00:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,,kWh,Geen verbruik
09-07-2024,00:00:00,09-07-2024,00:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,,kWh,Geen verbruik
09-07-2024,00:15:00,09-07-2024,00:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,53,kWh,Gevalideerd
09-07-2024,00:15:00,09-07-2024,00:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:30:00,09-07-2024,00:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
09-07-2024,00:30:00,09-07-2024,00:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,00:45:00,09-07-2024,01:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,21,kWh,Gevalideerd
09-07-2024,00:45:00,09-07-2024,01:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:00:00,09-07-2024,01:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
09-07-2024,01:00:00,09-07-2024,01:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:15:00,09-07-2024,01:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,14,kWh,Gevalideerd
09-07-2024,01:15:00,09-07-2024,01:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:30:00,09-07-2024,01:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,12,kWh,Gevalideerd
09-07-2024,01:30:00,09-07-2024,01:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,01:45:00,09-07-2024,02:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
09-07-2024,01:45:00,09-07-2024,02:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:00:00,09-07-2024,02:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,21,kWh,Gevalideerd
09-07-2024,02:00:00,09-07-2024,02:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:15:00,09-07-2024,02:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,18,kWh,Gevalideerd
09-07-2024,02:15:00,09-07-2024,02:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:30:00,09-07-2024,02:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,9,kWh,Gevalideerd
09-07-2024,02:30:00,09-07-2024,02:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,02:45:00,09-07-2024,03:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,32,kWh,Gevalideerd
09-07-2024,02:45:00,09-07-2024,03:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,03:00:00,09-07-2024,03:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,13,kWh,Gevalideerd
09-07-2024,03:00:00,09-07-2024,03:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,03:15:00,09-07-2024,03:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,22,kWh,Gevalideerd
09-07-2024,03:15:00,09-07-2024,03:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,03:30:00,09-07-2024,03:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,20,kWh,Gevalideerd
09-07-2024,03:30:00,09-07-2024,03:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,03:45:00,09-07-2024,04:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,26,kWh,Gevalideerd
09-07-2024,03:45:00,09-07-2024,04:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,04:00:00,09-07-2024,04:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,14,kWh,Gevalideerd
09-07-2024,04:00:00,09-07-2024,04:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,04:15:00,09-07-2024,04:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,12,kWh,Gevalideerd
09-07-2024,04:15:00,09-07-2024,04:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,04:30:00,09-07-2024,04:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,25,kWh,Gevalideerd
09-07-2024,04:30:00,09-07-2024,04:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,04:45:00,09-07-2024,05:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,20,kWh,Gevalideerd
09-07-2024,04:45:00,09-07-2024,05:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,05:00:00,09-07-2024,05:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,19,kWh,Gevalideerd
09-07-2024,05:00:00,09-07-2024,05:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,05:15:00,09-07-2024,05:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,8,kWh,Gevalideerd
09-07-2024,05:15:00,09-07-2024,05:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,05:30:00,09-07-2024,05:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,32,kWh,Gevalideerd
09-07-2024,05:30:00,09-07-2024,05:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,05:45:00,09-07-2024,06:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,12,kWh,Gevalideerd
09-07-2024,05:45:00,09-07-2024,06:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,06:00:00,09-07-2024,06:15:00,1SAG3100759323,Digitale Meter,Afname Nacht,19,kWh,Gevalideerd
09-07-2024,06:00:00,09-07-2024,06:15:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,06:15:00,09-07-2024,06:30:00,1SAG3100759323,Digitale Meter,Afname Nacht,13,kWh,Gevalideerd
09-07-2024,06:15:00,09-07-2024,06:30:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,06:30:00,09-07-2024,06:45:00,1SAG3100759323,Digitale Meter,Afname Nacht,36,kWh,Gevalideerd
09-07-2024,06:30:00,09-07-2024,06:45:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,06:45:00,09-07-2024,07:00:00,1SAG3100759323,Digitale Meter,Afname Nacht,156,kWh,Gevalideerd
09-07-2024,06:45:00,09-07-2024,07:00:00,1SAG3100759323,Digitale Meter,Injectie Nacht,0,kWh,Gevalideerd
09-07-2024,07:00:00,09-07-2024,07:15:00,1SAG3100759323,Digitale Meter,Afname Dag,18,kWh,Gevalideerd
09-07-2024,07:00:00,09-07-2024,07:15:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,07:15:00,09-07-2024,07:30:00,1SAG3100759323,Digitale Meter,Afname Dag,24,kWh,Gevalideerd
09-07-2024,07:15:00,09-07-2024,07:30:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,07:30:00,09-07-2024,07:45:00,1SAG3100759323,Digitale Meter,Afname Dag,20,kWh,Gevalideerd
09-07-2024,07:30:00,09-07-2024,07:45:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,07:45:00,09-07-2024,08:00:00,1SAG3100759323,Digitale Meter,Afname Dag,60,kWh,Gevalideerd
09-07-2024,07:45:00,09-07-2024,08:00:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,08:00:00,09-07-2024,08:15:00,1SAG3100759323,Digitale Meter,Afname Dag,44,kWh,Gevalideerd
09-07-2024,08:00:00,09-07-2024,08:15:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,08:15:00,09-07-2024,08:30:00,1SAG3100759323,Digitale Meter,Afname Dag,70,kWh,Gevalideerd
09-07-2024,08:15:00,09-07-2024,08:30:00,1SAG3100759323,Digitale Meter,Injectie Dag,0,kWh,Gevalideerd
09-07-2024,08:30:00,09-07-2024,08:45:00,1SAG3100759323,Digitale Meter,Afname Dag,9,kWh,Gevalideerd
